"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Mock 服务测试","API Mock 功能","基础 Mock 端点测试","0","0","1","0","0"
"TodoMVC","待办事项管理","页面元素检查","0","0","1","0","0"
"定位器管理","语义化定位","定位器优先级","0","0","1","0","0"
"TodoMVC","待办事项管理","标记完成","0","0","1","0","0"
"TodoMVC","待办事项管理","页面加载","0","0","1","0","0"
"TodoMVC","待办事项管理","添加待办事项","0","0","1","0","0"
"示例测试套件","基础功能测试","页面访问测试","0","0","1","0","0"
"定位器管理","语义化定位","SmartPage 功能","0","0","1","0","0"
"定位器管理","语义化定位","SmartLocator 功能","0","0","1","0","0"
"TodoMVC","待办事项管理","删除待办事项","0","0","1","0","0"
"API 测试","Mock API 测试","基础 Mock 端点测试","0","0","1","0","0"
"示例测试套件","基础功能测试","待办事项功能测试","0","0","1","0","0"
