"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 03 07:21:11 UTC 2026","Fri Apr 03 07:21:11 UTC 2026","6","tests.e2e","test_semantic_locators","TestSemanticLocators","","","测试 SmartLocator 解析定位器配置","测试 SmartLocator 能否正确解析各种定位器配置"
"passed","Fri Apr 03 07:21:12 UTC 2026","Fri Apr 03 07:21:12 UTC 2026","32","tests.e2e","test_semantic_locators","TestSemanticLocators","","","测试 SmartPage 使用语义化定位器","测试 SmartPage 能否正确使用语义化定位器"
"passed","Fri Apr 03 07:21:15 UTC 2026","Fri Apr 03 07:21:16 UTC 2026","485","tests.e2e","test_todomvc","TestTodoMVC","","","删除待办事项","测试删除待办事项"
"passed","Fri Apr 03 07:21:17 UTC 2026","Fri Apr 03 07:21:18 UTC 2026","724","tests.unit","test_sample","TestSample","","","验证 Playwright 演示页面可以正常访问",""
"passed","Fri Apr 03 07:21:13 UTC 2026","Fri Apr 03 07:21:14 UTC 2026","1042","tests.e2e","test_todomvc","TestTodoMVC","","","添加新的待办事项","测试添加待办事项场景"
"passed","Fri Apr 03 07:21:17 UTC 2026","Fri Apr 03 07:21:17 UTC 2026","5","tests.integration","test_mock_server","TestMockServer","","","测试 GET 请求 Mock","测试 Mock 服务器的 GET 请求"
"passed","Fri Apr 03 07:21:16 UTC 2026","Fri Apr 03 07:21:16 UTC 2026","426","tests.e2e","test_todomvc","TestTodoMVC","","","检查 TodoMVC 页面元素","测试 TodoMVC 页面元素显示"
"passed","Fri Apr 03 07:21:12 UTC 2026","Fri Apr 03 07:21:13 UTC 2026","385","tests.e2e","test_todomvc","TestTodoMVC","","","TodoMVC 页面加载成功","测试 TodoMVC 页面加载场景"
"passed","Fri Apr 03 07:21:12 UTC 2026","Fri Apr 03 07:21:12 UTC 2026","1","tests.e2e","test_semantic_locators","TestSemanticLocators","","","测试定位器优先级顺序","测试定位器按正确优先级解析"
"passed","Fri Apr 03 07:21:07 UTC 2026","Fri Apr 03 07:21:07 UTC 2026","7","tests.api","test_mock_api","TestMockUserAPI","","","测试 GET 请求 Mock - 获取用户列表","测试 Mock 服务器的 GET 请求"
"passed","Fri Apr 03 07:21:18 UTC 2026","Fri Apr 03 07:21:19 UTC 2026","763","tests.unit","test_sample","TestSample","","","验证添加待办事项功能",""
"passed","Fri Apr 03 07:21:15 UTC 2026","Fri Apr 03 07:21:15 UTC 2026","390","tests.e2e","test_todomvc","TestTodoMVC","","","标记待办事项为已完成","测试标记待办事项为已完成"
